row_id,x,y,accuracy,time,place_id,Hour,Weekday,Month,Year,Day
20930,1.0519,2.5208,67,163908,6399991653,19.8,1.825,3.79416666667,0.311849315068,113.825
44694,1.038,2.5315,152,657007,5035268417,6.11666666667,1.25486111111,3.20849537037,1.25001331811,91.2548611111
63005,1.1669,2.5182,73,393253,7064318248,2.21666666667,0.0923611111111,9.1030787037,0.748198249619,273.092361111
66583,1.1317,2.6425,178,326118,5606572086,11.3,2.47083333333,7.54902777778,0.62046803653,226.470833333
69412,1.0371,2.7308,112,329039,6424972551,11.9833333333,4.49930555556,7.61664351852,0.626025494673,228.499305556
84991,1.0749,2.5814,18,67953,1812226671,4.55,5.18958333333,1.57298611111,0.12928652968,47.1895833333
87312,1.0438,2.5872,3,23023,1097200869,23.7166666667,1.98819444444,0.532939814815,0.0438032724505,15.9881944444
94695,1.0313,2.5734,66,172502,1097200869,19.0333333333,0.793055555556,3.99310185185,0.328200152207,119.793055556
99210,1.1653,2.5471,64,500669,2355236719,16.4833333333,4.68680555556,11.5895601852,0.952566590563,347.686805556
101745,1.0581,2.5209,63,764333,6399991653,18.8833333333,5.78680555556,5.69289351852,1.45421042618,165.786805556
114534,1.0286,2.5522,126,696342,2509622106,13.7,0.570833333333,4.11902777778,1.32485159817,118.570833333
119024,1.1265,2.6749,3,79618,2215268322,6.96666666667,6.29027777778,1.84300925926,0.15148021309,55.2902777778
121729,1.2324,2.6027,69,497734,7551043473,15.5666666667,2.64861111111,11.5216203704,0.946982496195,345.648611111
129354,1.0858,2.6065,57,743268,6861654717,3.8,5.15833333333,5.20527777778,1.41413242009,151.158333333
131488,1.201,2.7465,65,611519,8048985799,15.9833333333,4.66597222222,2.15553240741,1.16346841705,59.6659722222
132786,1.0247,2.6125,65,763845,1097200869,10.75,5.44791666667,5.68159722222,1.45328196347,165.447916667
140179,1.1357,2.6168,10,153560,5606572086,15.3333333333,1.63888888889,3.55462962963,0.292161339422,106.638888889
149615,1.2207,2.7177,21,130628,2946102544,17.1333333333,6.71388888889,3.0237962963,0.248531202435,90.7138888889
166735,1.2275,2.532,6,165319,1267801529,19.3166666667,2.80486111111,3.8268287037,0.314533866058,114.804861111
171136,1.2096,2.534,6,193430,7803770431,7.83333333333,1.32638888889,4.4775462963,0.368017503805,134.326388889
198147,1.01,2.6096,6,412002,4546989509,2.7,6.1125,9.53708333333,0.783869863014,286.1125
199584,1.2343,2.5787,65,604879,3683087833,1.31666666667,0.0548611111111,2.0018287037,1.15083523592,55.0548611111
200129,1.236,2.6693,2,187082,3533177779,22.0333333333,3.91805555556,4.33060185185,0.355939878234,129.918055556
210446,1.1693,2.5185,269,546911,3992589015,19.1833333333,1.79930555556,0.659976851852,1.04054604262,14.7993055556
