#This file is the predicitons generated for the test data set whose true class was known. The accuracy is in important-results.txt
row_id,place_id
0,2460093296 7396836484 8258328058
1,3312463746 2541442115 6399991653
2,4932578245 3992589015 8836862149
3,7419370539 6424972551 3312463746
4,3312463746 2355236719 6237569496
5,5270522918 8048985799 1812226671
6,7203076986 3312463746 6399991653
7,8048985799 2460093296 7567563813
8,3992589015 6861654717 6683426742
9,9632980559 5261906348 6603539415
10,3992589015 2460093296 5987464133
11,3533177779 1097200869 7098464262
12,1435128522 1812226671 7803770431
13,2946102544 4932578245 3992589015
14,3312463746 9632980559 6399991653
15,2460093296 1812226671 6313450246
16,3312463746 8780655195 7540483733
17,8048985799 5606572086 1755486972
18,1097200869 9710472407 4932578245
19,3083446565 5261906348 2355236719
20,8048985799 4022692381 3014718150
21,1228935308 6164537747 3333445626
22,3992589015 4932578245 8178619377
23,6424972551 5316803628 6502303487
24,8258328058 3992589015 1097200869
25,3312463746 5035268417 9632980559
26,3312463746 2355236719 8048985799
27,3312463746 3533177779 6399991653
28,3312463746 1097200869 9710472407
29,5270522918 6683426742 8048985799
30,6683426742 4932578245 6424972551
31,7803770431 3992589015 3533177779
32,3533177779 3992589015 6683426742
33,6683426742 1097200869 2355236719
34,3992589015 6237569496 6438696009
35,2946102544 5095999304 5606572086
36,7914558846 5987464133 6683426742
37,1097200869 4932578245 5009192468
38,4932578245 6424972551 2215268322
39,2355236719 1097200869 6424972551
40,4932578245 5668367736 6683426742
41,3312463746 9237487147 2355236719
42,3952821602 9598377925 2212762406
43,6683426742 2862042305 5261906348
44,7175032540 4601057211 6237569496
45,5270522918 6683426742 1097200869
46,1097200869 5270522918 3533177779
47,5270522918 2215268322 5606572086
48,3312463746 9632980559 8137532417
49,8048985799 3533177779 4582070618
50,3312463746 2839037502 8780655195
51,8048985799 3992589015 3862706892
52,5009192468 6683426742 5270522918
53,5270522918 2215268322 2355236719
54,3992589015 6502303487 4530401381
55,1097200869 6399991653 3992589015
56,5606572086 7536975002 6424972551
57,6889790653 4423196276 8016466275
58,3992589015 6424972551 5606572086
59,1097200869 1435128522 3312463746
60,1097200869 3312463746 2215268322
61,1097200869 4932578245 3533177779
62,5270522918 5261906348 3312463746
63,3312463746 6683426742 5035268417
64,3952821602 3312463746 6399991653
65,6861654717 3312463746 5606572086
66,8048985799 1097200869 6237569496
67,3533177779 7098464262 9632980559
68,3312463746 6424972551 8048985799
69,6237569496 6861654717 1097200869
70,4932578245 9013153173 6424972551
71,8836862149 1097200869 6237569496
72,3312463746 7803770431 3992589015
73,8048985799 9713454201 1097200869
74,7803770431 3533177779 6861654717
75,1097200869 2460093296 4932578245
76,6399991653 6766324666 7803770431
77,4932578245 1097200869 6399991653
78,3312463746 6683426742 8048985799
79,3946571143 7914558846 5979470206
80,1812226671 3992589015 7396836484
81,6683426742 5009192468 3992589015
82,6683426742 6424972551 2460093296
83,6683426742 1097200869 2584530303
84,3312463746 2355236719 6813020455
85,3312463746 7018410676 8242450582
86,3312463746 7536975002 7803770431
87,1097200869 7098464262 7803770431
88,1097200869 4932578245 5261906348
89,6237569496 7914558846 1097200869
90,6683426742 3533177779 4667077219
91,6399991653 6424972551 5525845549
92,6424972551 2327054745 5270522918
93,8048985799 6424972551 7803770431
94,1913341282 5606572086 8258328058
95,6683426742 5270522918 7803770431
96,6399991653 1097200869 4932578245
97,3963204952 4206489096 5606572086
98,5606572086 4932578245 6424972551
99,1913341282 5606572086 8258328058
100,5606572086 3312463746 8606102186
101,2946102544 5606572086 8256912292
102,6683426742 1097200869 1812226671
103,6683426742 8048985799 3312463746
104,6683426742 6424972551 5270522918
105,6683426742 8780655195 2327054745
106,4932578245 3992589015 2460093296
107,1097200869 6683426742 6780386626
108,2460093296 7551043473 5606572086
109,1097200869 3992589015 5606572086
110,1228935308 3533177779 8016466275
111,6683426742 1097200869 5270522918
112,6399991653 4932578245 8258328058
113,1097200869 5270522918 2215268322
114,8048985799 6424972551 1812226671
115,1097200869 1913341282 6424972551
116,6683426742 5261906348 1097200869
117,6097504486 8780655195 6424972551
118,3862706892 1812226671 1228935308
119,5606572086 4932578245 6424972551
120,3312463746 6424972551 4932578245
121,4932578245 3312463746 6683426742
122,6683426742 2355236719 1097200869
123,4932578245 5606572086 3312463746
124,2946102544 1913341282 6097504486
